,State,RegionName,StateFullName
9160,AL,Fairfield,Alabama
9152,AL,Wilmer,Alabama
9153,AL,Gulf Shores,Alabama
9154,AL,Saraland,Alabama
9155,AL,Harvest,Alabama
9156,AL,Gardendale,Alabama
9157,AL,Semmes,Alabama
9158,AL,Cottondale,Alabama
9159,AL,Leeds,Alabama
9250,AL,Owens Cross Roads,Alabama
9249,AL,Mount Vernon,Alabama
9248,AL,Titus,Alabama
9247,AL,Minor,Alabama
9246,AL,McDonald Chapel,Alabama
9245,AL,Woodstock,Alabama
9244,AL,Mulga,Alabama
9243,AL,Creola,Alabama
9242,AL,Mount Olive,Alabama
9241,AL,Dauphin Island,Alabama
9240,AL,Edgewater,Alabama
9239,AL,Priceville,Alabama
9238,AL,Lake View,Alabama
9237,AL,Good Hope,Alabama
9236,AL,Sylvan Springs,Alabama
9235,AL,Chelsea,Alabama
9234,AL,Seminole,Alabama
9233,AL,Stapleton,Alabama
9232,AL,Concord,Alabama
9231,AL,Baileyton,Alabama
9230,AL,Kimberly,Alabama
9151,AL,Calera,Alabama
9150,AL,Hazel Green,Alabama
9149,AL,Guntersville,Alabama
9148,AL,Robertsdale,Alabama
9161,AL,Deatsville,Alabama
9118,AL,Mobile,Alabama
9119,AL,Birmingham,Alabama
9120,AL,Huntsville,Alabama
9121,AL,Tuscaloosa,Alabama
9122,AL,Decatur,Alabama
9123,AL,Hoover,Alabama
9124,AL,Madison,Alabama
9125,AL,Northport,Alabama
9126,AL,Wetumpka,Alabama
9127,AL,Fairhope,Alabama
9128,AL,Albertville,Alabama
9129,AL,Alabaster,Alabama
9130,AL,Prichard,Alabama
9229,AL,Buhl,Alabama
9131,AL,Theodore,Alabama
9133,AL,Homewood,Alabama
9134,AL,Bessemer,Alabama
9135,AL,Hartselle,Alabama
9136,AL,Foley,Alabama
9137,AL,Vestavia Hills,Alabama
9138,AL,Trussville,Alabama
9139,AL,Mountain Brook,Alabama
9140,AL,Pelham,Alabama
9141,AL,Grand Bay,Alabama
9142,AL,Bay Minette,Alabama
9143,AL,Millbrook,Alabama
